Lemma	PoS	Freq(ipm)	R	D	Doc
трезвон	s	0.8	36	73	43
трезвость	s	3.6	86	89	237
трезубец	s	0.6	37	80	40
трейд	s	0.5	16	69	19
трейдер	s	1.4	38	83	76
трейдинг	s	0.4	16	73	20
трейлер	s	1.4	50	86	89
трек	s	4.2	58	83	121
трелевка	s	0.4	18	58	19
трель	s	2.7	81	90	190
трельяж	s	0.8	37	80	51
тремор	s	0.4	24	77	28
тренажер	s	5.2	78	87	221
тренд	s	2.1	38	76	93
тренер	s	37.1	92	84	895
трение	s	6.6	93	85	342
тренинг	s	5.0	76	72	218
тренога	s	1.0	42	84	64
треножник	s	0.5	33	83	42
треп	s	2.5	71	84	139
трепанг	s	0.6	19	64	19
трепач	s	1.0	36	82	70
трепет	s	10.1	94	90	592
трепка	s	0.4	24	79	30
трепло	s	0.6	23	78	45
трепотня	s	0.6	37	85	49
треск	s	13.9	95	91	679
треска	s	1.6	67	90	107
трескотня	s	0.8	43	85	61
трест	s	7.6	86	88	287
треста	s	0.5	22	75	28
треть	s	29.4	100	93	1712
третье	s	2.6	86	93	200
третья	s	7.7	98	94	511
треуголка	s	0.6	34	83	45
треух	s	0.6	29	78	40
трехлетие	s	0.4	21	64	27
трешка	s	2.8	68	88	145
трешник	s	0.6	18	61	19
трещина	s	18.8	100	92	778
трещинка	s	1.5	67	90	117
трещотка	s	0.6	34	81	44
три	num	596.7	100	98	13354
триада	s	3.1	59	80	141
триба	s	1.2	5	11	6
трибун	s	1.4	56	88	88
трибуна	s	26.0	99	93	954
трибунал	s	8.4	94	85	262
триггер	s	0.4	14	47	18
тридевять	num	1.3	63	88	101
тридцатка	s	1.2	46	84	79
тридцать	num	106.5	100	95	2675
тризна	s	0.6	28	75	36
трико	s	1.9	62	89	129
триколор	s	0.7	36	82	54
трикотаж	s	1.4	51	85	81
триллер	s	2.8	67	88	188
триллион	s	3.1	61	87	171
трилогия	s	1.7	50	84	101
триместр	s	0.4	13	70	17
триммер	s	0.4	9	59	11
тринадцать	num	11.8	99	94	642
трио	s	2.5	66	87	150
триплет	s	0.4	8	57	16
триппер	s	1.1	43	84	68
трипсин	s	0.5	8	48	13
триптих	s	0.9	32	80	48
триста	num	26.2	99	91	1046
тритий	s	0.5	8	51	10
тритон	s	1.2	35	74	58
триумф	s	9.3	94	92	523
трое	num	61.5	100	94	1999
троечка	s	0.5	35	84	42
троечник	s	0.9	37	79	49
троица	s	11.8	97	81	455
тройка	s	20.9	100	94	925
тройник	s	1.4	22	29	25
тройня	s	0.4	22	73	25
тролль	s	1.3	35	72	53
тромб	s	1.0	40	80	52
тромбон	s	0.8	37	80	45
трон	s	8.7	94	89	360
троп	s	1.6	60	86	110
тропа	s	16.6	97	91	590
тропарь	s	3.3	16	30	48
тропик	s	1.8	71	90	122
тропинка	s	15.5	96	92	630
тропка	s	4.0	73	88	213
трос	s	8.0	92	89	299
тросик	s	0.5	26	80	29
тростинка	s	0.4	22	75	24
тростник	s	2.5	76	89	148
тросточка	s	1.6	53	84	92
трость	s	5.0	82	89	202
тротил	s	1.3	52	76	72
тротуар	s	23.1	92	92	802
трофей	s	5.5	92	93	328
троцкист	s	2.7	59	82	94
трояк	s	1.3	45	83	68
труба	s	82.1	100	95	2194
трубадур	s	1.3	42	70	58
трубач	s	2.2	65	83	101
трубка	s	101.7	100	92	1616
трубник	s	0.5	12	62	12
трубочка	s	8.2	97	92	431
труд	s	285.9	100	93	7004
трудность	s	47.7	100	93	2370
трудодень	s	2.2	63	83	90
трудяга	s	1.3	61	88	108
труженик	s	8.3	98	93	546
труженица	s	1.1	58	85	77
труп	s	42.5	100	93	1156
трупик	s	0.8	37	81	56
труппа	s	16.8	88	87	457
трус	s	8.5	90	90	401
трусики	s	5.6	81	87	241
трусиха	s	0.6	32	82	47
трусишка	s	0.4	24	76	29
трусость	s	6.0	88	93	332
трусца	s	1.8	55	79	119
трусы	s	15.5	94	91	666
трутень	s	0.9	19	36	24
труха	s	2.4	67	88	153
трущоба	s	1.7	67	88	111
трюк	s	12.2	91	77	419
трюм	s	5.7	81	77	164
трюмо	s	1.8	46	82	86
трюфель	s	0.6	37	84	42
тряпица	s	2.2	57	86	123
тряпка	s	22.8	96	91	849
тряпочка	s	5.3	89	92	320
тряпье	s	5.0	76	88	253
трясина	s	3.0	76	88	175
тряска	s	1.5	54	86	104
трясучка	s	0.4	25	78	28
туалет	s	35.1	98	94	1202
туарег	s	0.4	13	46	14
туба	s	1.0	24	45	26
тубус	s	0.4	16	58	18
тугодум	s	0.4	30	83	37
тугрик	s	0.4	20	75	25
туесок	s	0.5	20	74	26
тужурка	s	1.7	46	83	76
туземец	s	3.8	69	58	118
туловище	s	8.3	97	90	404
тулово	s	0.5	24	71	27
тулуп	s	4.0	75	89	197
тулупчик	s	0.6	24	77	29
тулья	s	0.8	32	80	49
туляк	s	0.5	22	66	24
тумак	s	0.8	48	87	64
туман	s	42.9	100	92	1166
тумба	s	4.5	79	81	189
тумблер	s	1.3	46	80	69
тумбочка	s	12.1	91	90	469
тунгус	s	0.5	15	57	15
тундра	s	10.0	85	72	205
тунец	s	0.7	27	71	32
тунеядец	s	2.0	69	88	127
туника	s	1.2	53	85	73
туннель	s	6.0	90	89	251
тупик	s	16.7	99	95	930
тупица	s	2.1	65	83	117
тупичок	s	0.7	29	76	45
тупость	s	3.6	87	92	245
турбаза	s	2.0	50	81	77
турбина	s	4.8	80	89	201
турист	s	27.0	100	93	994
туристка	s	0.9	40	81	49
турка	s	0.9	38	73	52
туркмен	s	1.0	35	79	48
турне	s	3.4	64	80	158
турник	s	1.1	51	85	76
турникет	s	2.3	58	82	91
турнир	s	28.9	82	83	775
турок	s	14.6	97	69	361
турфирма	s	2.0	42	80	85
турчанка	s	0.4	20	77	22
тусовка	s	6.6	87	92	377
тусовщик	s	0.5	33	81	37
туфелька	s	4.2	83	89	227
туфля	s	23.2	95	92	777
туфта	s	1.4	58	86	89
тухлятина	s	0.4	25	81	32
туча	s	23.9	97	92	877
тучка	s	1.9	64	86	113
туша	s	6.4	85	90	314
тушение	s	2.7	59	84	139
тушенка	s	4.4	74	87	193
тушка	s	3.1	71	73	114
тушь	s	4.9	80	81	232
тщание	s	0.9	50	87	71
тщеславие	s	6.4	91	91	341
тщета	s	1.1	55	87	88
тщетность	s	0.6	42	85	52
тыква	s	5.0	84	87	199
тыловик	s	0.5	29	81	33
тысяча	s	416.0	100	94	10400
тысячная	s	0.7	43	85	57
тычинка	s	1.4	39	56	52
тычок	s	1.8	60	87	119
тыща	s	4.7	73	89	255
тьма	s	39.5	97	90	1144
тюбетейка	s	1.7	54	84	90
тюбик	s	3.9	78	81	186
тюлень	s	2.6	58	79	93
тюль	s	1.1	51	85	70
тюльпан	s	5.0	82	85	234
тюнинг	s	1.4	34	80	69
тюрбан	s	1.0	41	82	57
тюремщик	s	1.6	53	81	83
тюрк	s	0.5	25	79	31
тюрьма	s	75.4	100	93	1726
тюряга	s	0.9	34	79	45
тютелька	s	0.9	28	81	33
тюфяк	s	1.9	53	84	102
тяга	s	16.3	98	92	890
тягач	s	2.9	60	81	122
тягость	s	2.1	73	89	155
тягота	s	4.9	93	93	336
тяготение	s	4.4	86	82	210
тяжба	s	2.5	72	89	176
тяжеловес	s	1.2	46	86	89
тяжесть	s	35.8	100	95	1485
тянучка	s	1.6	17	25	18
тяпка	s	0.5	26	71	29
тятька	s	0.6	13	51	13
тятя	s	0.7	24	76	29
у	pr	4306.1	100	97	25493
уазик	s	2.9	57	84	108
убеждение	s	30.1	100	94	1430
убежище	s	9.1	98	94	468
убивец	s	0.4	23	77	26
убиение	s	0.6	33	81	41
убийство	s	65.1	100	94	1745
убийца	s	34.0	100	92	1018
убитый	s	11.1	93	91	459
ублюдок	s	3.4	66	86	159
убогий	s	0.7	41	83	50
убогость	s	1.0	52	87	87
убожество	s	2.2	76	89	155
убой	s	1.5	52	82	94
убор	s	5.6	96	88	317
уборка	s	14.1	100	94	730
уборная	s	10.3	90	90	351
уборочная	s	0.6	28	79	36
уборщик	s	1.2	45	85	79
уборщица	s	8.2	94	92	424
убранство	s	3.2	87	90	217
убывание	s	1.0	41	82	78
убыль	s	3.6	87	90	242
убытие	s	0.5	21	59	24
убыток	s	21.1	98	82	918
уважение	s	49.7	100	96	2244
увал	s	0.9	28	76	36
увалень	s	1.0	47	83	73
уверение	s	2.1	72	90	160
увертюра	s	1.8	66	89	134
увечье	s	3.0	87	89	214
увиденное	s	0.5	38	85	45
увлечение	s	21.1	99	94	1042
увод	s	0.8	43	85	60
увядание	s	1.1	61	90	92
увязка	s	1.6	46	84	126
угар	s	2.4	79	90	163
угасание	s	1.3	58	88	103
углевод	s	2.2	59	82	113
углерод	s	6.2	58	75	212
угнетение	s	2.4	68	85	138
уговор	s	7.1	94	94	444
угода	s	2.9	89	92	222
угодник	s	2.4	74	87	148
угодье	s	5.5	89	89	301
угол	s	168.1	100	95	3539
уголек	s	5.5	68	49	168
уголовка	s	0.4	16	60	21
уголовник	s	7.4	91	90	324
уголок	s	32.2	99	96	1490
уголочек	s	1.0	48	85	64
уголь	s	33.5	99	93	1012
угольщик	s	0.9	39	79	55
угон	s	3.4	67	86	171
угонщик	s	2.0	44	77	78
угор	s	0.5	22	77	23
угорь	s	1.9	66	87	108
угощение	s	5.6	95	93	336
угощенье	s	0.5	32	82	40
угроза	s	74.5	100	94	3027
угрозыск	s	1.2	43	83	67
угрызение	s	3.4	84	91	231
угрюмость	s	0.5	32	82	42
удав	s	3.7	75	83	165
удавка	s	1.5	64	89	96
удаление	s	13.6	97	88	722
удалец	s	0.6	37	83	44
удаль	s	2.4	77	89	160
удар	s	146.8	100	95	3275
ударение	s	5.4	94	93	344
ударник	s	4.5	87	89	255
удача	s	41.3	100	87	1541
удачник	s	0.5	30	82	39
удвоение	s	4.4	64	88	256
удел	s	6.2	96	92	422
удерж	s	0.7	40	83	52
удержание	s	4.3	71	86	260
удивление	s	55.5	100	95	1928
удивленье	s	0.4	17	68	18
удила	s	1.0	48	85	71
удилище	s	1.1	35	78	48
удлинение	s	1.2	36	79	73
удмурт	s	0.5	17	57	21
удобрение	s	10.0	92	90	443
удобство	s	16.1	99	95	1056
удой	s	0.6	28	79	36
удочка	s	8.8	93	90	379
удушение	s	1.2	55	86	85
удушье	s	2.2	74	88	151
уединение	s	3.6	88	90	222
уезд	s	5.9	86	85	254
ужас	s	93.8	100	94	2549
ужастик	s	1.1	51	86	88
ужимка	s	1.6	64	89	117
ужин	s	36.5	98	94	1231
узбек	s	4.2	83	87	184
узда	s	1.7	70	90	133
уздечка	s	1.6	52	85	88
уздцы	s	0.8	41	85	60
узел	s	48.6	99	88	1593
узелок	s	6.3	85	89	276
узилище	s	0.5	28	81	36
узнавание	s	3.2	84	86	184
узник	s	6.9	94	85	301
узор	s	12.6	98	94	602
узость	s	2.0	69	75	120
узурпатор	s	0.6	37	84	45
уйма	s	5.3	89	92	326
указ	s	42.7	98	91	1491
указание	s	53.1	100	89	2025
указатель	s	6.5	96	90	390
указка	s	2.5	81	90	171
уклад	s	7.1	93	92	428
укладка	s	4.3	81	87	229
уклейка	s	0.4	10	55	15
уклон	s	7.8	98	92	453
уклонение	s	4.6	81	75	250
уклонист	s	0.6	36	82	45
уключина	s	0.8	31	80	40
укол	s	15.0	97	93	603
укольчик	s	0.4	22	78	25
укор	s	4.9	86	91	314
укоризна	s	2.7	68	88	192
украинец	s	9.4	91	90	424
украинка	s	1.4	59	86	94
украшение	s	19.6	100	94	1063
укроп	s	4.6	82	80	189
укрощение	s	0.9	43	84	59
укрытие	s	8.3	96	94	425
уксус	s	6.0	85	76	230
укус	s	4.2	94	93	262
улан	s	0.5	21	73	26
улей	s	2.7	82	88	165
улика	s	6.8	91	90	282
улита	s	0.6	11	44	12
улитка	s	3.0	79	88	167
улица	s	337.8	100	96	6496
уличка	s	0.4	19	76	21
улов	s	4.5	87	88	239
уловка	s	4.2	90	93	296
уложение	s	1.0	38	79	51
улочка	s	8.8	90	89	409
улус	s	0.6	28	78	35
улучшение	s	30.6	100	90	1819
улыбка	s	98.1	99	93	2015
улыбочка	s	3.3	65	88	190
ультра	s	0.5	25	77	34
умаление	s	0.7	35	83	47
умелец	s	4.1	92	92	286
умение	s	39.4	100	95	1769
уменье	s	1.2	53	84	73
умерший	s	6.6	95	90	355
умиление	s	6.3	92	91	375
умирание	s	2.3	72	83	151
умирающий	s	3.1	79	86	192
умишко	s	0.5	31	83	41
умник	s	4.5	86	91	273
умница	s	10.5	94	91	488
умничка	s	0.5	19	68	30
умножение	s	4.1	83	87	239
умозрение	s	0.9	32	64	40
умолк	s	1.6	61	88	114
умолчание	s	3.0	80	90	200
умора	s	0.5	22	76	35
умывание	s	1.5	42	71	66
умысел	s	5.6	95	92	357
универ	s	1.5	21	53	77
универмаг	s	5.0	92	88	247
универсал	s	3.4	59	85	159
универсам	s	1.0	48	84	71
универсум	s	1.2	26	65	40
унижение	s	13.7	97	94	713
уникум	s	0.9	46	83	60
унисон	s	1.9	72	90	142
унитаз	s	8.7	90	91	384
униформа	s	3.5	78	90	222
уния	s	0.5	19	68	27
унтер	s	1.9	41	74	52
унция	s	0.9	32	76	42
унылость	s	0.4	23	79	30
уныние	s	5.7	95	94	374
упад	s	1.0	56	88	85
упадок	s	6.7	96	92	434
упаковка	s	16.7	99	91	783
уплата	s	16.8	88	79	657
упование	s	2.1	60	78	127
упоение	s	5.0	93	93	327
упокоение	s	1.0	43	79	77
упокой	s	1.6	68	90	116
упор	s	19.4	100	96	1044
упорство	s	8.9	98	94	548
управа	s	5.9	86	82	274
управдом	s	2.1	52	80	83
упрек	s	15.0	97	95	824
упрочение	s	1.4	45	81	108
упрощение	s	4.9	77	88	349
упругость	s	3.5	79	82	183
упряжка	s	4.0	82	87	172
упряжь	s	0.9	42	81	56
упрямец	s	1.2	41	74	58
упрямство	s	5.4	92	92	334
упущение	s	2.0	76	90	157
упырь	s	1.3	44	77	61
уравнение	s	21.8	83	74	439
ураган	s	6.9	94	87	335
уралец	s	0.6	32	79	43
уран	s	7.0	73	79	182
урез	s	0.6	22	75	33
урезание	s	0.6	33	82	51
уретрит	s	0.4	9	48	9
урка	s	1.9	48	83	80
урна	s	7.8	94	93	375
уровень	s	348.5	100	90	10334
урод	s	9.5	96	90	441
уродец	s	2.1	65	83	112
уродина	s	1.1	50	85	77
уродка	s	0.4	19	74	21
уродство	s	3.7	83	90	243
урожай	s	22.4	99	93	1015
уроженец	s	4.7	90	91	329
уроженка	s	0.7	41	86	58
урок	s	72.6	100	95	2106
уролог	s	0.8	25	70	31
урология	s	0.4	26	79	26
урон	s	3.6	87	92	270
урочище	s	1.7	53	84	81
урчание	s	1.1	50	86	88
урюк	s	0.7	27	62	32
урядник	s	0.9	23	67	30
усадка	s	0.7	28	72	47
усадьба	s	17.4	98	91	532
усач	s	0.8	29	74	44
усвоение	s	4.9	76	82	251
усердие	s	5.7	92	92	370
усик	s	7.2	88	83	294
усиление	s	22.9	96	90	1370
усилие	s	95.9	100	96	4112
усилитель	s	3.4	76	86	174
ускорение	s	11.0	91	89	667
услада	s	0.9	47	85	69
условие	s	368.1	100	91	10779
услуга	s	138.3	100	90	4229
услужение	s	1.0	57	89	80
усмешечка	s	0.6	31	80	43
усмешка	s	13.2	92	90	571
усмирение	s	0.7	38	84	51
усопший	s	3.6	80	79	200
успение	s	2.1	44	73	87
успех	s	149.5	100	94	5547
уста	s	20.3	100	94	1029
устав	s	33.5	96	80	1157
усталость	s	27.6	100	94	1148
усталь	s	2.5	75	91	181
установка	s	82.6	100	82	2745
устаток	s	0.4	29	83	32
устой	s	5.7	97	93	362
устрица	s	3.6	74	83	146
устроение	s	1.6	51	77	91
уступ	s	4.3	75	79	151
уступка	s	12.7	96	86	501
устье	s	7.3	94	85	264
устьице	s	0.4	7	20	8
усыхание	s	0.7	22	71	39
утайка	s	0.7	45	86	56
утварь	s	3.9	90	92	251
утенок	s	2.2	62	80	110
утепление	s	0.7	34	81	49
утеря	s	1.0	46	84	69
утес	s	6.3	81	71	190
утеха	s	2.4	77	90	158
утечка	s	7.8	93	90	419
утешение	s	11.0	97	89	593
утешитель	s	1.3	42	70	69
утилита	s	0.4	11	56	18
утиль	s	0.8	47	87	65
утка	s	13.1	98	93	535
уток	s	0.7	38	72	45
утоление	s	0.9	47	85	65
утолщение	s	1.1	38	71	51
утомление	s	1.5	65	90	109
утопающий	s	1.9	67	89	131
утопист	s	0.7	35	80	44
утопия	s	7.3	88	88	330
уточка	s	1.0	49	87	67
уточнение	s	10.5	99	88	662
утрата	s	15.7	98	88	811
утренник	s	1.9	68	87	113
утреня	s	2.1	15	34	43
утречко	s	1.0	41	86	74
утро	s	301.3	100	95	4993
утроба	s	3.0	73	88	194
утюг	s	8.7	93	88	380
ухаб	s	2.7	71	88	187
ухажер	s	2.3	69	86	137
уханье	s	0.6	35	82	47
ухарь	s	0.4	22	78	29
ухват	s	1.8	42	47	51
ухватка	s	1.0	46	86	72
ухищрение	s	2.9	87	92	219
ухмылка	s	4.3	79	89	259
ухмылочка	s	0.5	27	79	36
уход	s	53.3	100	95	2285
ухудшение	s	7.9	82	90	551
уценка	s	0.4	17	64	19
участие	s	185.6	100	91	7659
участник	s	144.2	100	90	5635
участница	s	4.6	77	90	310
участок	s	144.2	100	88	3858
участь	s	14.5	96	94	798
учащийся	s	18.4	89	81	614
учеба	s	25.7	100	94	1313
учебка	s	1.0	31	77	46
учебник	s	31.0	100	94	1314
учение	s	46.7	100	89	1285
ученик	s	80.4	99	91	2149
ученица	s	7.1	97	92	363
ученость	s	1.7	65	87	115
ученый	s	117.4	100	92	3235
ученье	s	1.7	59	84	101
учет	s	107.4	100	87	4193
учетчик	s	0.4	19	67	22
училище	s	36.4	98	93	1126
училка	s	1.3	40	80	63
учитель	s	113.8	100	94	2675
учтивость	s	1.0	45	80	56
учхоз	s	0.5	6	44	8
ушанка	s	3.4	60	80	140
ушастик	s	0.5	10	23	10
ушат	s	1.0	48	85	69
ушиб	s	2.6	84	92	191
ушица	s	0.4	16	72	20
ушко	s	5.8	92	92	354
ушкуйник	s	0.5	9	24	10
ущелье	s	11.1	94	90	386
ущемление	s	2.2	67	89	157
ущерб	s	35.5	100	89	1827
уяснение	s	1.0	33	76	60
фабрика	s	36.7	100	93	1421
фабрикант	s	1.4	57	88	94
фабула	s	2.9	64	85	154
фавн	s	0.4	26	80	28
фавор	s	1.2	46	76	72
фаворит	s	8.2	84	89	451
фаворитка	s	0.7	34	74	39
фагот	s	0.8	30	79	41
фагоцитоз	s	0.5	9	52	18
фаза	s	29.3	97	81	920
фазан	s	1.8	54	79	71
файл	s	6.6	82	84	260
факел	s	9.2	96	91	357
факир	s	1.4	42	78	62
факс	s	13.6	93	65	688
факт	s	171.3	100	94	5877
фактор	s	91.2	100	86	3363
фактура	s	5.2	85	90	334
факультет	s	31.7	100	93	1338
фаланга	s	2.1	71	65	100
фалда	s	0.5	31	84	38
фаллос	s	1.1	48	82	64
фальцет	s	1.8	60	85	109
фальшборт	s	0.5	16	51	18
фальшивка	s	2.9	75	87	149
фальшь	s	4.6	93	93	303
фамилия	s	118.1	100	95	2820
фанаберия	s	0.6	31	82	46
фанат	s	5.0	63	88	302
фанатик	s	5.5	96	92	292
фанатка	s	0.5	23	71	28
фанера	s	5.8	95	90	308
фанерка	s	1.1	43	85	66
фанза	s	0.4	12	52	12
фант	s	0.4	24	76	30
фанта	s	0.7	38	85	44
фантазер	s	2.1	77	91	149
фантазия	s	34.0	99	95	1462
фантаст	s	1.8	61	86	106
фантик	s	2.3	75	87	122
фантом	s	3.9	79	89	205
фанфара	s	1.6	62	87	102
фара	s	12.8	92	92	590
фараон	s	4.7	84	81	164
фарватер	s	1.5	57	82	90
фарисей	s	3.6	38	40	86
фармацевт	s	1.0	43	81	65
фарс	s	3.8	83	91	244
фарси	s	0.4	20	71	24
фарт	s	0.7	35	80	45
фартук	s	6.1	85	90	321
фартучек	s	0.7	37	83	49
фарфор	s	4.7	85	92	276
фарцовщик	s	1.0	34	74	49
фарш	s	6.0	67	77	179
фасад	s	14.7	98	92	708
фасоль	s	3.0	72	83	137
фасон	s	3.5	85	91	221
фасция	s	2.5	13	11	13
фата	s	1.8	57	87	96
фаталист	s	1.1	40	69	52
фауна	s	4.9	86	61	206
фашист	s	16.8	97	92	559
фаэтон	s	1.2	40	80	50
фаянс	s	0.6	32	79	40
февраль	s	69.7	100	93	2929
федерал	s	2.4	45	80	119
федерация	s	258.9	90	65	4175
феерия	s	0.9	55	87	73
фейерверк	s	5.5	88	92	316
фейхоа	s	0.4	10	44	10
фекалии	s	1.1	38	77	59
фельдшер	s	6.4	82	84	202
фельетон	s	4.5	77	83	192
фенечка	s	0.4	22	76	28
феникс	s	3.1	68	81	139
фенол	s	2.0	26	51	50
феномен	s	20.8	100	87	918
фенотип	s	1.2	19	60	36
феня	s	4.4	68	74	133
феодал	s	1.8	50	80	78
ферзь	s	2.4	58	87	111
ферма	s	16.4	96	90	530
фермент	s	7.3	65	75	230
фермер	s	8.6	89	89	338
феска	s	0.7	27	79	40
фестиваль	s	48.4	91	87	1205
фетиш	s	1.0	53	88	70
фиалка	s	3.7	81	88	167
фиаско	s	2.2	72	89	167
фибра	s	0.4	26	80	31
фига	s	6.9	86	81	372
фигня	s	4.4	72	70	207
фигура	s	97.5	100	96	2825
фигурант	s	2.0	53	87	150
фигурист	s	3.3	43	62	71
фигурка	s	14.2	97	93	647
фиеста	s	0.9	38	82	52
физик	s	25.5	96	82	540
физика	s	40.9	99	74	983
физиолог	s	1.8	54	84	103
физлицо	s	0.4	19	74	28
физмат	s	0.6	33	80	39
физрук	s	0.8	26	74	35
физтех	s	1.4	37	63	44
физфак	s	0.6	34	82	36
фикс	s	0.8	38	83	56
фиксатор	s	0.6	27	77	36
фиксация	s	4.5	75	86	264
фикус	s	2.6	67	86	132
фикция	s	2.6	81	89	167
филантроп	s	0.5	29	82	44
филе	s	1.9	54	80	88
филенка	s	0.5	22	74	26
филер	s	0.5	21	71	23
филиал	s	25.5	97	90	1119
филин	s	6.3	63	68	112
филиппика	s	0.6	37	84	46
филогенез	s	0.5	10	60	17
филолог	s	6.0	90	89	307
филология	s	2.6	70	83	142
филон	s	0.5	16	62	16
философ	s	30.6	99	91	1017
философия	s	53.5	100	84	1318
филфак	s	1.9	63	87	111
фильм	s	196.8	100	88	3009
фильтр	s	14.6	99	86	557
фимиам	s	0.6	34	81	47
финал	s	28.1	100	90	1257
финалист	s	1.0	39	83	73
финансист	s	4.3	75	89	294
финансы	s	26.2	97	91	1490
фингал	s	0.9	43	85	60
финик	s	0.9	40	83	56
финикиец	s	0.4	21	71	24
финикс	s	0.5	16	64	22
финифть	s	0.4	9	23	9
финиш	s	8.4	91	90	442
финка	s	2.5	58	84	99
финн	s	7.8	94	90	333
финт	s	0.8	45	87	69
фиорд	s	0.4	15	67	18
фирма	s	164.4	100	93	4902
фирмач	s	0.6	34	83	44
фирмочка	s	0.5	26	78	38
фискал	s	0.5	20	75	21
фисташка	s	0.5	29	78	33
фитилек	s	0.5	28	82	33
фитиль	s	2.7	73	73	129
фитнес	s	1.2	35	74	48
фитнесс	s	0.6	22	73	35
фитомасса	s	0.8	8	39	10
фитонцид	s	0.4	20	71	25
фифа	s	1.2	40	83	52
фишка	s	5.6	79	87	268
флаг	s	29.4	99	87	1076
флагман	s	2.1	60	87	145
флагшток	s	0.7	35	71	44
флажок	s	6.0	90	92	323
флакон	s	6.5	94	93	365
флакончик	s	1.9	69	88	112
фламандец	s	0.4	25	78	28
фламенко	s	0.7	30	79	45
фламинго	s	0.5	30	82	39
фланг	s	8.5	93	89	355
фланель	s	0.5	25	76	30
фланец	s	0.4	13	65	19
флегматик	s	0.5	19	72	23
флейта	s	5.8	85	88	236
флейтист	s	0.8	27	69	32
флексия	s	0.5	7	36	9
флер	s	1.4	42	59	65
флигелек	s	0.5	28	80	32
флигель	s	4.1	78	88	161
флирт	s	2.0	75	89	129
флокс	s	1.0	34	80	57
фломастер	s	2.3	70	90	149
флора	s	5.3	86	81	277
флорин	s	0.4	6	14	6
флорист	s	0.7	27	78	35
флот	s	41.0	99	90	1054
флотилия	s	3.0	63	78	115
флотский	s	0.4	27	80	32
флоэма	s	0.7	4	6	4
флюгер	s	1.4	45	82	67
флюид	s	4.6	63	71	132
флюс	s	0.9	39	70	43
фляга	s	3.5	65	82	143
фляжка	s	3.8	62	84	143
фобия	s	1.2	47	81	79
фойе	s	8.9	91	91	357
фоккер	s	0.5	13	38	14
фокстрот	s	1.4	56	85	80
фокус	s	16.0	100	94	781
фокусник	s	5.1	83	82	239
фолиант	s	1.6	69	90	118
фолликул	s	1.0	20	58	25
фольга	s	4.3	90	88	223
фольклор	s	8.8	91	89	410
фомка	s	0.7	19	61	19
фонарик	s	10.1	93	90	431
фонарь	s	32.9	99	92	1036
фонд	s	128.6	100	89	3935
фонема	s	0.8	20	61	27
фонетика	s	1.1	45	82	68
фонтан	s	18.4	98	92	784
фонтанчик	s	2.0	67	89	142
фора	s	2.2	67	88	162
форвард	s	2.6	52	86	137
форель	s	2.2	67	88	118
форма	s	347.8	100	90	8229
формалин	s	0.8	38	81	57
формалист	s	1.5	53	84	82
формат	s	15.5	90	87	836
формация	s	3.9	80	88	210
формовка	s	0.5	27	81	36
формочка	s	0.7	31	73	36
формула	s	65.7	100	91	2022
формуляр	s	1.3	45	81	60
форпост	s	2.6	51	42	82
форс	s	0.7	39	86	52
форсаж	s	0.9	37	79	46
форсунка	s	1.9	40	56	65
форт	s	1.9	63	85	91
форте	s	0.6	27	74	35
фортель	s	0.7	46	86	60
форточка	s	10.0	92	90	456
фортуна	s	2.6	78	90	177
форум	s	30.1	82	84	996
фоспренил	s	0.4	3	27	5
фосфат	s	1.3	30	77	59
фосфор	s	3.1	65	82	143
фотка	s	6.1	59	51	167
фото	s	32.2	100	90	1341
фотограф	s	12.7	96	91	542
фотокопия	s	0.7	34	80	42
фотон	s	1.8	31	62	50
фотопроба	s	0.4	16	68	18
фоторобот	s	0.9	32	75	41
фрагмент	s	30.5	98	84	1168
фраер	s	2.4	57	87	115
фраза	s	97.8	100	96	2631
фразочка	s	0.8	36	83	53
фрак	s	6.3	91	90	262
фрактал	s	1.1	12	49	15
фракция	s	26.8	82	89	1057
фрамуга	s	0.4	20	76	25
франк	s	10.2	91	89	387
франт	s	1.1	54	87	77
француз	s	32.7	100	93	1174
французик	s	0.4	23	78	28
франшиза	s	0.8	16	65	21
фрау	s	5.7	60	74	94
фрегат	s	2.8	68	81	119
фреза	s	1.1	27	53	34
фрейлейн	s	0.6	11	51	11
фрейлина	s	1.4	51	80	63
фрейм	s	0.7	15	63	22
френч	s	2.4	70	90	122
фреон	s	1.4	25	67	29
фреска	s	5.4	86	81	206
фриз	s	0.9	33	78	44
фрикция	s	0.5	11	34	12
фриц	s	6.1	74	81	146
фройляйн	s	0.4	14	68	15
фронда	s	0.8	38	84	51
фронт	s	87.7	100	92	1768
фронтовик	s	6.2	83	90	256
фронтон	s	1.6	66	90	112
фрукт	s	21.6	100	93	922
фруктоза	s	0.6	20	71	28
фрунт	s	0.4	26	79	32
фтор	s	0.9	28	75	44
фторид	s	0.7	13	43	16
фуга	s	1.3	50	86	82
фугас	s	2.9	54	81	119
фугаска	s	0.4	18	72	19
фужер	s	4.5	69	88	167
фукс	s	1.4	26	58	33
фуллерен	s	1.0	9	45	20
фундамент	s	17.2	100	93	963
фундатор	s	0.5	4	13	4
фуникулер	s	0.5	29	81	34
функция	s	119.6	100	85	3718
фунт	s	11.5	98	91	484
фунтик	s	0.7	32	75	36
фура	s	1.9	55	83	84
фураж	s	0.6	29	78	37
фуражка	s	15.3	92	89	487
